Artist                          Songs

adventure time                  island song
barenaked ladies                pinch me
beck                            girl
blur                            youre so great
bob dylan                       shelter from the storm
colin hay                       overkill
crosby stills and nash          420
david gray                      babylon
depeche mode                    personal jesus
eva cassidy                     somewhere over the rainbow
gotye                           somebody that i used to know
jimi hendrix                    little wing, voodoo child
judy garland                    somewhere over the rainbow
led zeppelin                    bron yr aur, bron yr aur stomp
misc soundtrack                 stranger things - main theme
misc unsigned bands             mark mueller - ducktales theme
nirvana                         in bloom, oh me
radiohead                       creep, killer cars, no surprises, street spirit
rem                             man on the moon, the great beyond
simon and garfunkel             scarborough fair
smashing pumpkins               tonight tonight
smiths                          there is a light that never goes out
sound of music                  edelweiss
the doobie brothers             long train runnin, what a fool believes
the guess who                   no sugar tonight
the police                      synchronicity 2, walking on the moon
third eye blind                 semi charmed life
weezer                          endless bummer
yes                             roundabout
